attack_family,attack_parameter,watermark_score_count,watermark_score_mean,watermark_score_standard_deviation,watermark_score_median,watermark_score_minimum,watermark_score_maximum,provenance_score_count,provenance_score_mean,provenance_score_standard_deviation,provenance_score_median,provenance_score_minimum,provenance_score_maximum,forensic_score_count,forensic_score_mean,forensic_score_standard_deviation,forensic_score_median,forensic_score_minimum,forensic_score_maximum,semantic_score_count,semantic_score_mean,semantic_score_standard_deviation,semantic_score_median,semantic_score_minimum,semantic_score_maximum,cosine_similarity_count,cosine_similarity_mean,cosine_similarity_standard_deviation,cosine_similarity_median,cosine_similarity_minimum,cosine_similarity_maximum,acs_count,acs_mean,acs_standard_deviation,acs_median,acs_minimum,acs_maximum,ssim_count,ssim_mean,ssim_standard_deviation,ssim_median,ssim_minimum,ssim_maximum,difference_score_count,difference_score_mean,difference_score_standard_deviation,difference_score_median,difference_score_minimum,difference_score_maximum,histogram_score_count,histogram_score_mean,histogram_score_standard_deviation,histogram_score_median,histogram_score_minimum,histogram_score_maximum,edge_score_count,edge_score_mean,edge_score_standard_deviation,edge_score_median,edge_score_minimum,edge_score_maximum,suspicious_region_ratio_count,suspicious_region_ratio_mean,suspicious_region_ratio_standard_deviation,suspicious_region_ratio_median,suspicious_region_ratio_minimum,suspicious_region_ratio_maximum,evidence_agreement_count,evidence_agreement_mean,evidence_agreement_standard_deviation,evidence_agreement_median,evidence_agreement_minimum,evidence_agreement_maximum,semantic_integrity_risk_count,semantic_integrity_risk_mean,semantic_integrity_risk_standard_deviation,semantic_integrity_risk_median,semantic_integrity_risk_minimum,semantic_integrity_risk_maximum
blur,sigma_1,5,0.4904296875,0.011207091838238105,0.4921875,0.4736328125,0.5029296875,5,0.0,0.0,0.0,0.0,0.0,5,0.9176600393918742,0.015249698665517076,0.9233473024463938,0.8990150759147348,0.9324052028436906,5,0.9846556305885314,0.007201083286196839,0.9847245812416077,0.9761220514774323,0.9920653700828552,5,0.969311261177063,0.014402166572393679,0.9694491624832153,0.9522441029548645,0.9841307401657104,5,0.6015361189299343,0.004742859531153715,0.6026417539654233,0.5968024208054292,0.6078438864488659,5,0.8888552568491929,0.012293893033629643,0.8895175513814779,0.8724383352232778,0.9019754205926087,5,0.9546712970733643,0.010921054883626744,0.956985330581665,0.9401609897613525,0.9682630062103271,5,0.9912896986180574,0.004631921422644124,0.9910409967393108,0.9864516493062259,0.9982945272736954,5,0.868759298324585,0.07215836432965923,0.8637058734893799,0.7981061935424805,0.9657714366912842,5,0.01839599609375,0.011357829056088613,0.015964508056640625,0.004238128662109375,0.033817291259765625,5,0.15893546597987335,0.00308496724728635,0.15823730818486345,0.1560545781113629,0.16417350221726132,5,0.20317211771011354,0.04968009841565959,0.19628380000591278,0.13209382712841033,0.25216260269284246
blur,sigma_3,5,0.48671875,0.014229021659026557,0.4892578125,0.466796875,0.501953125,5,0.0,0.0,0.0,0.0,0.0,5,0.8394571408439745,0.047438877400495315,0.8431061139623452,0.7766991430544999,0.8934159412159985,5,0.9212484896183014,0.01876497146958978,0.9239982664585114,0.8945105075836182,0.9391661286354065,5,0.8424969792366028,0.03752994293917956,0.8479965329170227,0.7890210151672363,0.878332257270813,5,0.5659456625542854,0.01130587328508068,0.5713039186432851,0.5532731865649252,0.5789900866401927,5,0.7577500925402803,0.054721477230457644,0.7697555794094496,0.6866720077424168,0.8109950653643844,5,0.917437047958374,0.02782108294473035,0.9169047832489013,0.8770155429840087,0.95305495262146,5,0.9894647658769525,0.005839488766912997,0.991124064045031,0.983505893655044,0.9969259978834708,5,0.8046041488647461,0.11297052489169174,0.7910537719726562,0.6727797985076904,0.9615886211395264,5,0.049306488037109374,0.01753778423181192,0.0537567138671875,0.018489837646484375,0.060760498046875,5,0.20449539149928497,0.011492417484977212,0.20429979137428053,0.18856656901161503,0.21685362333520256,5,0.2659075601696968,0.06474182426446339,0.2934730702638626,0.15461363360285757,0.3170021936297417
blur,sigma_5,4,0.492919921875,0.012816801512115906,0.49169921875,0.4794921875,0.5087890625,4,0.0,0.0,0.0,0.0,0.0,4,0.8325885006198356,0.047067220300573705,0.8288554673195108,0.7816273403849919,0.891015727455329,4,0.8862495869398117,0.04837899793541531,0.897278904914856,0.825045645236969,0.9253948926925659,4,0.7724991738796234,0.09675799587083062,0.7945578098297119,0.650091290473938,0.8507897853851318,4,0.5556225566746607,0.014869843070122998,0.5585430407424364,0.5371663119929377,0.568237833220832,4,0.7356182762983495,0.06004978406874192,0.7381442042803164,0.6646220007400652,0.8015626958927003,4,0.9111591458320618,0.027731320222718688,0.8988674640655517,0.8943941593170166,0.952507495880127,4,0.9871842234384319,0.006522408998757409,0.9882173893099309,0.9785312646348605,0.9937708504990055,4,0.8379523754119873,0.09900224343178739,0.8288328647613525,0.7325551509857178,0.9615886211395264,4,0.046240806579589844,0.021561244511239242,0.054866790771484375,0.01465606689453125,0.060573577880859375,4,0.21901794810749098,0.01608246624232325,0.2170027233169975,0.2019913726281584,0.24007497316781057,4,0.2659616779536009,0.0694661030533983,0.2828704759478569,0.17037454992532733,0.3277312099933624
brightness,-20,4,0.923583984375,0.14700077163943567,0.99560546875,0.703125,1.0,4,0.0,0.0,0.0,0.0,0.0,4,0.7996041248139607,0.14121191680088177,0.8610232550813535,0.5886906674655653,0.8876793216275707,4,0.9873058721423149,0.01991261621993477,0.9970694184303284,0.9574436247348785,0.9976410269737244,4,0.9746117442846298,0.03982523243986954,0.9941388368606567,0.9148872494697571,0.9952820539474487,4,0.6870085826992367,0.07091744142899604,0.7202268437328692,0.5807524709135766,0.7268281724176315,4,0.815852141442519,0.33819915643612664,0.9817650569908851,0.3085980408249394,0.9912804109633665,4,0.7689098119735718,0.03645279535525811,0.7510317802429198,0.75,0.8235756874084472,4,0.6094003303945525,0.09287614102397654,0.5957647179675919,0.5232766825106758,0.7227952031323507,4,0.9922210574150085,0.009798203010554363,0.9948018789291382,0.9792804718017578,1.0,4,0.001003265380859375,0.001605762517269587,0.0003223419189453125,0.0,0.003368377685546875,4,0.14958212762225767,0.04933069843739261,0.12662000367415954,0.12161196482096093,0.2234765383197507,4,0.20656273330561817,0.14115278975686232,0.2621405198983848,0.0,0.3019698934257031
brightness,20,4,0.998046875,0.0017829510335454627,0.998046875,0.99609375,1.0,4,0.0,0.0,0.0,0.0,0.0,4,0.8442244991300508,0.05733817418981515,0.8626476825775882,0.7606290222114741,0.8909736091535528,4,0.995934247970581,0.0021196249206382614,0.9962693452835083,0.9930518567562103,0.9981464445590973,4,0.9918684959411621,0.004239249841276523,0.9925386905670166,0.9861037135124207,0.9962928891181946,4,0.7171368929671844,0.011936447658104603,0.7208132595122294,0.6997972208441579,0.7271238320001213,4,0.9261042459249298,0.12724541291940294,0.9882651330921715,0.7352631329406029,0.9926235845747732,4,0.7502317547798156,0.0004389088582807576,0.7500186204910277,0.75,0.750889778137207,4,0.6014797436463138,0.0899141648067541,0.5798447291896056,0.5233659969145501,0.7228635192914941,4,0.9979845881462097,0.00380599070107374,0.9998297691345215,0.9922788143157959,1.0,4,0.0,0.0,0.0,0.0,0.0,4,0.12763097770576798,0.006522978053733086,0.126140560273566,0.12141586859122633,0.1368269216847136,4,0.22246627895161508,0.14835375385018035,0.29440542332828046,0.0,0.30105426914989947
brightness,40,4,0.984130859375,0.01745790413971555,0.98779296875,0.9619140625,0.9990234375,4,0.0,0.0,0.0,0.0,0.0,4,0.7382128081244088,0.1005104206003844,0.7836455170339072,0.5878238102235233,0.797736388206298,4,0.9900727197527885,0.003509386607578377,0.9901912659406662,0.985812783241272,0.9940955638885498,4,0.9801454395055771,0.007018773215156754,0.9803825318813324,0.971625566482544,0.9881911277770996,4,0.6906970923944683,0.018614079709224154,0.6980564016980252,0.6630644563920862,0.7036111097897367,4,0.8573674819509259,0.20808511910332922,0.9579831648865867,0.5453231104358548,0.9681804875946755,4,0.5041282773017883,0.004401841787452912,0.5035732984542847,0.5,0.509366512298584,4,0.5155803718724686,0.060948697974880624,0.5080521687074042,0.44952273684925736,0.5966944132258087,4,0.9935221076011658,0.008218443991393792,0.9960360527038574,0.9820163249969482,1.0,4,0.00034046173095703125,0.0006809234619140625,0.0,0.0,0.001361846923828125,4,0.1404344266944771,0.003588821742081588,0.14095439635901907,0.13562430916467985,0.14420460489519027,4,0.2234210983105004,0.14897697782945357,0.2963186945766211,0.0,0.30104700408875945
contrast,0.75,4,0.955322265625,0.03348318431384995,0.95751953125,0.9130859375,0.9931640625,4,0.0,0.0,0.0,0.0,0.0,4,0.8225604205902165,0.08458351260378943,0.7943515832427664,0.7552579386334126,0.9462805772419205,4,0.9957008063793182,0.0009754994044697001,0.9957926422357559,0.9945188462734222,0.9966990947723389,4,0.9914016127586365,0.0019509988089394003,0.9915852844715118,0.9890376925468445,0.9933981895446777,4,0.7020528924380888,0.024706262185792614,0.6968676235318885,0.6779194631834925,0.7365568595050858,4,0.9421798967267125,0.0027480418043348866,0.9419071559739718,0.9393412803064312,0.9455639946524752,4,0.6312014937400818,0.21170602925536805,0.5607314348220824,0.4678662300109864,0.9354768753051758,4,0.6452194897668059,0.2094065254295056,0.564699914370347,0.500917624080244,0.9505605062462856,4,0.959974467754364,0.020827149524818553,0.9633821249008179,0.9323089122772217,0.9808247089385986,4,0.0214996337890625,0.02467716466847141,0.01506805419921875,0.0,0.0558624267578125,4,0.14037604785546837,0.019173695534518358,0.14446896609557558,0.11360572480798439,0.15896053442273794,4,0.29924870921298863,0.08963271392203848,0.30815320555120707,0.18348944403231143,0.39719898171722884
contrast,1.25,4,0.92578125,0.03691182339990439,0.91162109375,0.8994140625,0.98046875,4,0.0,0.0,0.0,0.0,0.0,4,0.8325314398002979,0.08781123954292085,0.8004885258463268,0.7675825915302812,0.9615661159782569,4,0.9901550710201263,0.005085377136261185,0.988662913441658,0.9861008822917938,0.9971935749053955,4,0.9803101420402527,0.01017075427252237,0.977325826883316,0.9722017645835876,0.994387149810791,4,0.6949981217660974,0.02817912081861752,0.6846018526392628,0.6742002986185944,0.73658848316727,4,0.9612527725252732,0.006210692828967686,0.9630398137358065,0.9528846602804525,0.9660468023490273,4,0.6507803320884704,0.20291685507074508,0.5852786302566528,0.4891189098358154,0.9434451580047607,4,0.6208914575798024,0.22818205563217084,0.5088736939569378,0.5027144784958879,0.9631039639094456,4,0.9609259366989136,0.02150639143874642,0.9681485891342163,0.9306187629699707,0.976787805557251,4,0.01776409149169922,0.030186036253995126,0.0042018890380859375,0.0,0.062652587890625,4,0.14763966864190298,0.023108047078932117,0.15667497913864237,0.1133575912312238,0.1638511250591034,4,0.2903814696893096,0.0974624432030558,0.2914702128246427,0.1699478293210268,0.40863762378692625
contrast,1.5,4,0.575439453125,0.011343128309912713,0.580078125,0.55859375,0.5830078125,4,0.0,0.0,0.0,0.0,0.0,4,0.7194312338377162,0.1275557154705017,0.6764869116509324,0.6184869577056165,0.9062641543433837,4,0.9547999277710915,0.039731494858008184,0.9624924659729004,0.8999814093112946,0.9942333698272705,4,0.9095998555421829,0.07946298971601637,0.9249849319458008,0.7999628186225891,0.988466739654541,4,0.5741860883801206,0.03643571519567104,0.5662570361845567,0.5389554862095116,0.6252747949418579,4,0.8801616802423061,0.02701053060672574,0.8902503862299423,0.8412825075229781,0.8988634409863616,4,0.3862350344657898,0.33611318434741616,0.26375977993011473,0.1353281497955322,0.8820924282073974,4,0.5813003286859311,0.22113541827424438,0.47478742126089946,0.46273344566847857,0.9128930265534468,4,0.9306977987289429,0.029090266762056744,0.9311172962188721,0.8984329700469971,0.9621236324310303,4,0.012011528015136719,0.017573024027018228,0.0054035186767578125,0.0,0.03723907470703125,4,0.21888173289393067,0.039132849537625324,0.2254755402008045,0.16530626707247734,0.25926958410163636,4,0.28403371210210027,0.03633271709861779,0.2948761443607509,0.23150785744190217,0.31487470224499703
control,exact_byte_copy,5,0.998046875,0.0018269811458857135,0.9990234375,0.99609375,1.0,5,1.0,0.0,1.0,1.0,1.0,5,1.0,0.0,1.0,1.0,1.0,5,0.9987247586250305,0.0007341216303065587,0.9987531304359436,0.9976193904876709,0.9996178150177002,5,0.997449517250061,0.0014682432606131174,0.9975062608718872,0.9952387809753418,0.9992356300354004,5,0.9991291463375092,0.00042035431856986814,0.9990416765213013,0.99859539270401,0.9996259391307831,5,1.0,0.0,1.0,1.0,1.0,5,1.0,0.0,1.0,1.0,1.0,5,1.0,0.0,1.0,1.0,1.0,5,1.0,0.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,5,0.9979065544336537,0.0011143233592740237,0.9980497884764706,0.996712571556088,0.9990415013657151,5,0.0,0.0,0.0,0.0,0.0
